Цитата №;Дата;Цитата;Рейтинг
Цитата #867; 22 декабря 2007 ;Svettik: приветик, можешь мне пожалуйста лабораторную помочь решитьJon: првет...хочешь всю правду?Svettik: какую правдуJon: во 1 - когда ты говоришь помочь - это нихуя не помочь, а полностью решить, и еще начертить блок схему и обяснить как всё это работаетво 2 - уже на протяжении 3 месяцев как я с тобой знаком, решаю тебе каждую неделю по несколько лаб, задач и тд. Я часто ахуевал с этих задач, наверно потому что ты учишься в вышке и там такой уровень, а я в средухе.... Но я запрягал друзей, когда сам не мог разобратся в коде, писал на форумах, спамил в хабе даже,...бывало тратил несколько часов, сидел весь вечер, понимая что ты в этом нихуя не шаришь и тока на меня вся надежда. ПОтом я торчал(и сейчас даже до сих пор торчу) тем кто мне помог или ты хули думала всё так просто за спасибо? Да, ты мне всегда говарила огромное спасибо, смайлики там ставила и всякую хуйню. ДА, зачет по вышмату у тебя автоматом...зачет по дискретки у тебя автоматом...всё заебись я рад за тебя честно. Я конечно не требовал чтоб ты мне дала за эту всю помощь, ты же приличная девушка. Но блять даже не было при встречах накакой награды там или намека...просто блять как друзья...Svettik: У тебя неудачный день выдался?Jon: нет всё заебись, только решай сама свои ебнутые задачи;7285
Цитата #1291; 11 сентября 2008 ;"Поточная лекция человек 90 сидит в аудитории.Лекцию по логике ведет препод лет так под 65 голос ужасно тихий и писклявый. Пол часа вводный курс в предмет. Пол потока   занимается чем хочет. И тут он говорит:- ""Индукция - это......и т.д и т.п"". Тут голос с задних рядов:- ""да, ну на хуй""!!!? Тут последовала тишина, а за ней пауза по кручи чем в ""Ревизоре"". Препод обводит глазами всю аудиторию и выдает мощнейшим голосом фразу:-""Я мужик в годах, пездеть не буду"". Наш смех он успокаивал минут 15 точно.....";6147
Цитата #7259; 19 октября 2009 ;"Я в восторге от наших учителей.Сыну в школе дали домашнее задание, где, среди прочего, был вопрос ""как связаны буква 'А' и бык?""Рассказал ему про финикийский алфавит, как первую фонетическую письменность. Что там была буква ""алеф"", очень похожая на нашу современную ""А"", и что слово ""алеф"" означало ""бык"". Что, возможно, букву так назвали, потому что если развернуть ее, то она похожа на морду быка с рогами.Еще очень радовался, что детям во втором классе такие вещи рассказывают.Учительница поставила ребенку двойку, заявив, что он фантазировал в домашнем задании. А правильный ответ: если к слову ""бык"" добавить ""а"", получится родительный падеж.Я не планировал в таком раннем возрасте рассказывать сыну, что половина окружающих людей - идиоты, но, видимо, придется :-)";5520
Цитата #12328; 30 марта 2010 ;у меня на балконе сосулька растет метровая, прямо над машиной, которая ссигналит каждую ночь. Я эту сосульку из распылителя подкармливаю.;5028
Цитата #1265; 9 сентября 2008 ;Она: У нас сегодня с утра 5 градусов всего былоОн: ОгоОна: Я дубу дала...Он: не знаю что ответить... согрелась хоть?;4896
Цитата #12844; 24 апреля 2010 ;Жук: Выведите меня из цикла, кто-нибудь. Плиз!Alien: Странная просьба... Обычно из запоя вывести просят, а ты из цикла. Из какого хоть цикла-то?Жук: Поссорился с женой (довела до предела), решил разрядиться и ударил кулаком стену, при этом выбил стекло в двери локтем на замахе, порезался, помирился с женой, пошёл покупать новое стекло, купил, но оно сцуко меньше чем надо, пошёл ещё купил стекло, разбил его пока домой нёс (нечайно), пошёл ещё купил стекло, принёс, установил (но оно херово как-то установилось), поссорился с женой, решил покурить на кухне, закрыл дверь, из неё выпало и разбилось стекло. Порезал ногу. Помирился с женой. Пошёл за новым стеклом... Мне продолжать свой грустный рассказ?;4655
Цитата #16035; 29 сентября 2010 ;fint: вчера в чатрулет зашел, наткнулся на 2 англичанок по 16 летfint: одна пишет - о, недавно в школе про россию училаfint: я у нее - и что выучила? она - там холодноfint: потом спрашивает - ты аристократ или крестьянин?fint: сказал, что мы крестьянам не разрешаем в инете сидеть;4485
Цитата #963; 26 августа 2008 ;xxx : хочешь я тебе цветы подарюyyy : ТЫ ЗАЕБАЛ СО СВОИМИ ЦВЕТАМИ , КОНФЕТАМИ , ШОКОЛАДКАМИ , НЕТ БЫ ПРОСТО ВЗЯТЬ И ВЫЕБАТЬ !xxx : ты меня обидела;4408
Цитата #10059; 24 ноября 2009 ;AnDro3d: Вопрос: в лоб ебаться будешь?AnDro3d: Извините, двоеточие не там поставил..;4160
Цитата #16211; 5 октября 2010 ;"rastazom: шел с твоим лаптем (чинить), задумался, ничего не замечаю вокруг. Тут нападают на меня промоутеры билайнаrastazom: ""дешевый тариф"", все дела, возьмите буклетrastazom: я на автомате ""А вы знаете, что христос вас любит?"" и лезу в твой пакет, щас, говорю, я вам буклеты дамrastazom: они в затупе смотрят на меня. я говорю: ""да шучу, шучу... никто вас, блять, не любит""";3851
Цитата #1183; 8 сентября 2008 ;- я у подруги первый- чё, ничё не умеет?- ага, даже минет делать- ну так научи...- знаешь, я и сам не умею;3738
Цитата #12011; 14 марта 2010 ;xxx: Мама как-то пошла за новой микроволновкой. Мальчик-консультант в Эльдораде рассказывал, как она крута: вентилятор волны разгоняетxxx: Бедняга не знал, что мама не только добродушная дама в возрасте, но и доебистый радиофизик;3648
Цитата #16332; 8 октября 2010 ;"Работаю в ГАИ, оформляем ДТП, нужно остановить понятых. Останавливаю машину, представляюсь, говорю мол такая ситуация, вы не могли бы побыть понятым у нас, много времени не займет. Водитель отвечает ""неее я не могу, у меня с собой документов нету ...пауза... БЛЯЯЯЯЯЯЯЯЯ""";3635
Цитата #10818; 7 января 2010 ;Она: Костик, такие вещи по асе не говорят, но я ...Она: я беременна...Она: аауу, ты рад?Она: Костик?Он: его нет, он отошел.Она: ой. а кто это?Он: судя по всему уже бабушка;3599
